mesh_id,lon,lat,n_cases,risk_score
14092_03827,140.9249226403233,38.27602324202964,2227,
14092_03828,140.92480380597013,38.28554275186567,1072,
14092_03829,140.92389536351166,38.293311447187925,1458,
14092_03830,140.92324976190477,38.3028030952381,42,
14092_03831,140.92606847238542,38.31544081081081,851,
14092_03832,140.9222762472885,38.32376485900217,461,
14093_03818,140.93176,38.18726,4,
14093_03819,140.93799929824561,38.19821157894737,57,
14093_03820,140.9341111904762,38.203333904761905,210,
14093_03821,140.93257789687922,38.215324735413844,737,
14093_03822,140.93161567010307,38.22214649484536,97,
14093_03823,140.9345965,38.237799576923074,780,
14093_03824,140.93491062986,38.24393611975116,2572,
14093_03825,140.93581619441574,38.25283664943123,967,
14093_03826,140.93518613513513,38.26598745945946,370,
14093_03827,140.93366141078837,38.275844792531124,964,
14093_03828,140.93288235624124,38.286145806451614,713,
14093_03829,140.93482820697955,38.294185006016846,831,
14093_03830,140.93688448170732,38.302169192073166,656,
14093_03831,140.93439616438354,38.31276712328767,73,
14093_03833,140.93269,38.33779,1,
14094_03818,140.943568,38.189536,15,0.6402420888812035
14094_03819,140.94491266666668,38.19610733333333,15,
14094_03820,140.94563047619047,38.20338761904762,21,
14094_03821,140.9438797142857,38.217149142857146,35,
14094_03822,140.94700263473055,38.22288676646707,167,
14094_03823,140.94633758658009,38.23743322510823,924,
14094_03824,140.9451642220699,38.24380129540781,1459,
14094_03825,140.94404648760332,38.252069999999996,484,
14094_03826,140.94511993506492,38.265195584415586,154,
14094_03827,140.94494045454545,38.27214853535354,198,
14094_03829,140.94657495475113,38.29763802036199,884,
14094_03830,140.94508264150943,38.30325536556604,848,
14094_03831,140.94156,38.31233,125,
14095_03818,140.9538077777778,38.18392888888889,9,
14095_03819,140.954482,38.194518,20,0.560328549195919
14095_03820,140.9568524,38.2016872,25,0.5364150095106345
14095_03821,140.95796,38.21543,2,
14095_03822,140.95440954545452,38.22704848484849,66,
14095_03823,140.95180919475655,38.23638219101124,1068,
14095_03824,140.95216,38.2479,23,
14095_03825,140.95253327659574,38.253181617021276,235,
14095_03826,140.9565493076923,38.266037230769236,260,
14095_03827,140.95618136684303,38.274800670194004,1134,
14095_03828,140.95720722154223,38.284608910648714,817,
14095_03829,140.95533092803032,38.2941978125,1056,
14095_03830,140.95455005208333,38.3049851875,960,
14095_03831,140.95685053333332,38.31086293333333,150,
14096_03819,140.96173285714286,38.199841583011576,259,0.5550405028184724
14096_03820,140.96322,38.201594444444446,9,
14096_03822,140.9666703883495,38.2268118446602,103,0.5658414603231096
14096_03823,140.96614810810811,38.23349081081081,37,0.5817035953470329
14096_03824,140.966314,38.244666,5,
14096_03825,140.96371522321428,38.25602166666666,672,
14096_03826,140.96439238621585,38.265537496749026,1538,
14096_03827,140.96579721088435,38.27491321995465,1764,
14096_03828,140.96604083190394,38.28400439108062,1166,
14096_03830,140.96074,38.30803,136,
14097_03820,140.97334,38.20935,1,
14097_03821,140.976567,38.217129,20,0.675328549195919
14097_03822,140.97163277777778,38.22411888888889,18,
14097_03825,140.97528039062502,38.255826953125,128,
14097_03826,140.97487262937062,38.26735029370629,715,
14097_03827,140.9750827446103,38.275950671641795,1206,
14097_03828,140.9749485946385,38.28171981316003,1231,
14098_03821,140.98007,38.21957,9,0.6001383365035448
14098_03822,140.981756,38.222991,10,
14098_03824,140.98374833333335,38.243943020833335,96,
14098_03825,140.98349352785146,38.25653827586207,377,
14098_03826,140.98511601652893,38.26466370247934,605,
14098_03827,140.98500387421382,38.27676489308176,795,
14098_03828,140.98459345052083,38.281737031249996,768,
14099_03824,140.99418529411764,38.242552352941175,34,
14099_03825,140.99527233766233,38.25786545454546,77,
14099_03826,140.99486157534247,38.26603582191781,146,
14099_03827,140.993594,38.2757036,75,
14099_03828,140.99198153846154,38.28240589743589,117,0.5840571613526825
14100_03825,141.0036557142857,38.25702619047619,21,
14100_03826,141.00312212765957,38.26458085106383,47,
14100_03827,141.00345169329074,38.27539913738019,313,0.6274398520727544
14101_03825,141.01117,38.2569,5,
14101_03826,141.0147888888889,38.26139232323232,99,0.6309875514613539
14101_03827,141.0142121875,38.2758728125,96,
14102_03826,141.02335,38.26512,4,0.7000518761888294
14102_03827,141.02296,38.27422,32,0.5911610539512363
14102_03828,141.02386,38.28002,2,
14103_03827,141.03557571428573,38.278822142857145,14,
